Domain,Time Spent (seconds)
www.google.com,1.24
www.youtube.com,4.08
www.google.com,0.53
newtab,13.25
facebook.com,40
www.youtube.com,6.14
www.youtube.com,37.23
www.hackerrank.com,5.67
www.hackerrank.com,33.27
www.youtube.com,4.11
www.youtube.com,12.43
www.youtube.com,8.02
www.youtube.com,0.99
mail.google.com,5.05
www.hackerrank.com,0.57
www.youtube.com,1.98
localhost,0.55
mail.google.com,0.93
mail.google.com,0.71
www.youtube.com,1.87
www.youtube.com,1.80
www.youtube.com,4.30
www.youtube.com,0.54
www.youtube.com,2.86
www.youtube.com,5.89
www.youtube.com,6.24
www.youtube.com,6.12
www.youtube.com,2.48
www.youtube.com,1.78
newtab,0.80
chatgpt.com,4.26
github.com,7.59
github.com,3.98
github.com,20.81
github.com,6.28
